exchange_symbol,symbol,size_multiplier
ETCUSDT,BUF/P_ETCUSDT,100.0
ETHBUSD,BUF/P_ETHBUSD,1000.0
ETHUSDT,BUF/P_ETHUSDT,1000.0
FETUSDT,BUF/P_FETUSDT,1.0
FILBUSD,BUF/P_FILBUSD,10.0
FILUSDT,BUF/P_FILUSDT,10.0
FLMUSDT,BUF/P_FLMUSDT,1.0
FLOWUSDT,BUF/P_FLOWUSDT,10.0
FOOTBALLUSDT,BUF/P_FOOTBALLUSDT,100.0
FTMBUSD,BUF/P_FTMBUSD,1.0
FTMUSDT,BUF/P_FTMUSDT,1.0
FTTBUSD,BUF/P_FTTBUSD,10.0
FTTUSDT,BUF/P_FTTUSDT,10.0
FXSUSDT,BUF/P_FXSUSDT,10.0
GALABUSD,BUF/P_GALABUSD,1.0
GALAUSDT,BUF/P_GALAUSDT,1.0
GALBUSD,BUF/P_GALBUSD,1.0
GALUSDT,BUF/P_GALUSDT,1.0
GMTBUSD,BUF/P_GMTBUSD,10.0
GMTUSDT,BUF/P_GMTUSDT,1.0
GMXUSDT,BUF/P_GMXUSDT,100.0
GRTUSDT,BUF/P_GRTUSDT,1.0
GTCUSDT,BUF/P_GTCUSDT,10.0
HBARUSDT,BUF/P_HBARUSDT,1.0
HFTUSDT,BUF/P_HFTUSDT,1.0
HIGHUSDT,BUF/P_HIGHUSDT,10.0
HNTUSDT,BUF/P_HNTUSDT,1.0
HOOKUSDT,BUF/P_HOOKUSDT,10.0
HOTUSDT,BUF/P_HOTUSDT,1.0
ICPBUSD,BUF/P_ICPBUSD,10.0
ICPUSDT,BUF/P_ICPUSDT,1.0
ICXUSDT,BUF/P_ICXUSDT,1.0
IDEXUSDT,BUF/P_IDEXUSDT,1.0
IDUSDT,BUF/P_IDUSDT,1.0
IMXUSDT,BUF/P_IMXUSDT,1.0
INJUSDT,BUF/P_INJUSDT,10.0
IOSTUSDT,BUF/P_IOSTUSDT,1.0
IOTAUSDT,BUF/P_IOTAUSDT,10.0
IOTXUSDT,BUF/P_IOTXUSDT,1.0
JASMYUSDT,BUF/P_JASMYUSDT,1.0
JOEUSDT,BUF/P_JOEUSDT,1.0
KAVAUSDT,BUF/P_KAVAUSDT,10.0
KEEPUSDT,BUF/P_KEEPUSDT,1.0
KEYUSDT,BUF/P_KEYUSDT,1.0
KLAYUSDT,BUF/P_KLAYUSDT,10.0
KNCUSDT,BUF/P_KNCUSDT,1.0
KSMUSDT,BUF/P_KSMUSDT,10.0
LDOBUSD,BUF/P_LDOBUSD,10.0
LDOUSDT,BUF/P_LDOUSDT,1.0
LEVERBUSD,BUF/P_LEVERBUSD,1.0
LEVERUSDT,BUF/P_LEVERUSDT,1.0
LINAUSDT,BUF/P_LINAUSDT,1.0
LINKBUSD,BUF/P_LINKBUSD,10.0
LINKUSDT,BUF/P_LINKUSDT,100.0
LITUSDT,BUF/P_LITUSDT,10.0
LPTUSDT,BUF/P_LPTUSDT,10.0
LQTYUSDT,BUF/P_LQTYUSDT,10.0
LRCUSDT,BUF/P_LRCUSDT,1.0
